year,faixa_bat_depth,total_raiw
2022,0-2m,0
2022,2.1-8m,0.07390168478466738
2022,8.1-14m,0
2022,14.1m+,0.12091644995751803
2023,0-2m,0.0046388688891358665
2023,2.1-8m,1.3160233793300504
2023,8.1-14m,0.025513004399988316
2023,14.1m+,0.1632717168486696
2024,0-2m,0.06723670027557781
2024,2.1-8m,2.249047370197375
2024,8.1-14m,0.6038270944283876
2024,14.1m+,0.10898113529719243
2025,0-2m,0.47948820729150055
2025,2.1-8m,1.1359589901148128
2025,8.1-14m,2.4477226480144503
2025,14.1m+,0.004682125249425591
